ID,tool,level
28,Jira,
29,C,Want to work with NEXT year
29,C#,Want to work with NEXT year
29,C++,
29,HTML/CSS,Both
29,Java,Both
29,JavaScript,Both
29,Kotlin,
29,PHP,
29,Python,Both
29,Ruby,
29,SQL,Both
29,Swift,
29,TypeScript,Both
29,Android,
29,Arduino,
29,AWS,Both
29,Docker,Both
29,Google Cloud Platform,Want to work with NEXT year
29,Heroku,Both
29,IBM Cloud or Watson,Both
29,iOS,
29,Linux,Both
29,MacOS,
29,Microsoft Azure,
29,Raspberry Pi,
29,Windows,Both
29,WordPress,Want to work with NEXT year
29,Angular,
29,ASP.NET,
29,Django,Want to work with NEXT year
29,Express,Both
29,jQuery,Both
29,Laravel,
29,React.js,Both
29,Ruby on Rails,
29,Vue.js,Want to work with NEXT year
29,Spring,Want to work with NEXT year
29,.NET,
29,.NET Core,
29,Flutter,
29,Node.js,Both
29,Puppet,
29,React Native,Both
29,Deno.js,
29,GitHub,Both
29,GitLab,Both
29,Facebook Workplace,Worked with in PAST year
29,Slack,Both
29,Microsoft Teams,Both
29,Microsoft Azure2,
29,Trello,Both
29,"Google Suite (Docs, Meet, etc)",
29,Stack Overflow for Teams,
29,Jira,Both
30,C,
30,C#,
30,C++,
30,HTML/CSS,Both
30,Java,
30,JavaScript,Both
30,Kotlin,
30,PHP,
30,Python,Want to work with NEXT year
30,Ruby,
30,SQL,Both
30,Swift,
30,TypeScript,Both
30,Android,Both
30,Arduino,
30,AWS,Both
30,Docker,Both
30,Google Cloud Platform,Both
30,Heroku,
30,IBM Cloud or Watson,
30,iOS,
30,Linux,
30,MacOS,
30,Microsoft Azure,
30,Raspberry Pi,
30,Windows,
30,WordPress,
30,Angular,
30,ASP.NET,
30,Django,
30,Express,Both
30,jQuery,
30,Laravel,
30,React.js,Want to work with NEXT year
30,Ruby on Rails,
30,Vue.js,Both
30,Spring,
30,.NET,
30,.NET Core,
30,Flutter,Both
30,Node.js,Both
30,Puppet,
30,React Native,
30,Deno.js,
30,GitHub,Both
30,GitLab,Want to work with NEXT year
30,Facebook Workplace,
30,Slack,Both
30,Microsoft Teams,
30,Microsoft Azure2,
30,Trello,Both
30,"Google Suite (Docs, Meet, etc)",
30,Stack Overflow for Teams,
30,Jira,
31,C,
31,C#,
31,C++,
